ruta,bytes_antes,bytes_despues,medidas_antes,medidas_despues
recorrido/cultura/historiareligion/laotse.webp,220616,120912,1000x1000,900x900
recorrido/cultura/historiareligion/mahoma.webp,208168,108514,1000x1000,900x900
recorrido/cultura/historiareligion/mesopotamia.webp,318722,188358,1000x1000,900x900
recorrido/cultura/historiareligion/moises.webp,240344,131650,1000x1000,900x900
recorrido/cultura/historiareligion/neolitica.webp,251050,140350,1000x1000,900x900
recorrido/cultura/historiareligion/reforma.webp,207254,111602,1000x1000,900x900
recorrido/cultura/historiareligion/romana.webp,241172,133176,1000x1000,900x900
recorrido/cultura/historiareligion/secularizacion.webp,279788,145850,1000x1000,900x900
recorrido/cultura/historiareligion/sintoismo.webp,314342,168152,1000x1000,900x900
recorrido/cultura/historiareligion/sunies.webp,212998,114658,1000x1000,900x900
recorrido/cultura/historiareligion/taoismo.webp,217902,116024,1000x1000,900x900
recorrido/cultura/historiareligion/ur.webp,283584,157760,1000x1000,900x900
recorrido/cultura/historiareligion/viaje.webp,237362,124294,1000x1000,900x900
recorrido/cultura/historiareligion/zoroastro.webp,222592,116122,1000x1000,900x900
recorrido/cultura/portadas/historiafilosofia.webp,234432,112900,1000x1000,900x900
recorrido/cultura/portadas/historiareligion.webp,229158,110988,1000x1000,900x900
recorrido/fisiologia/colageno/tipo3.webp,252032,127162,1000x1000,900x900
recorrido/fisiologia/colageno/tipo7.webp,232066,112944,1000x1000,900x900
recorrido/fisiologia/grasa/subcutanea.webp,280934,99360,1254x1254,900x900
recorrido/fisiologia/grasa/visceral.webp,272644,97528,1254x1254,900x900
recorrido/fisiologia/pre/barreranuclear.webp,210706,93646,1000x1000,900x900
recorrido/fisiologia/pre/ribosoma.webp,231420,108708,1000x1000,900x900
recorrido/fisiologia/profundiza/apoptosis/apoptosis1.webp,356706,190152,1000x1000,900x900
recorrido/fisiologia/profundiza/apoptosis/apoptosis2.webp,316132,166334,1000x1000,900x900
recorrido/fisiologia/profundiza/apoptosis/apoptosis4.webp,333698,176852,1000x1000,900x900
recorrido/fisiologia/profundiza/cetosis/cetosis1.webp,279364,130754,1000x1000,900x900
recorrido/fisiologia/profundiza/cetosis/cetosis2.webp,263292,118962,1000x1000,900x900
recorrido/fisiologia/profundiza/cetosis/cetosis3.webp,304094,161540,1000x1000,900x900
recorrido/fisiologia/profundiza/cetosis/cetosis4.webp,344310,184844,1000x1000,900x900
